county,land_area_m2,land_area_mi2,pop_2020,pop_dens_2020,county_type,median_hh_income,p_foreign_born,p_child_poverty,p_single_parent_hh,p_broadband,p_home_ownership,p_family_sustaining_wage,p_edu_lths,p_edu_hsged,p_edu_scnd,p_edu_ndc,p_edu_assoc,p_edu_ba,p_edu_mapl,p_edu_hs_grad_rate,p_edu_chronic_absent_rate
Harnett,1540870386,594.9333821459127,133568,224.5091702842811,Rural - Metro,70074,0.06283378601074219,0.2007734328508377,0.1692468971014023,0.6923251152038574,0.6949361562728882,0.4875094592571259,0.09448091685771942,0.2497441470623016,0.1726866513490677,0.07501060515642166,0.1372407078742981,0.1904345899820328,0.08040238916873932,0.8591823577880859,0.2801327705383301
Haywood,1433713844,553.5600099724011,62089,112.1630877980069,Rural - Metro,64553,0.02248846739530563,0.1643886268138885,0.1416031718254089,0.6230390071868896,0.7501494288444519,0.5187531113624573,0.0908639207482338,0.2593171000480652,0.1602896302938461,0.07503371685743332,0.1306168735027313,0.1864839941263199,0.09739476442337036,0.9153153300285339,0.2085561454296112
Henderson,965934305,372.9493202190801,116281,311.78767112832793,Suburban,63765,0.07655873149633408,0.1954651027917862,0.1392816752195358,0.7261765599250793,0.7421414852142334,0.4463823735713959,0.1102969869971275,0.2382103055715561,0.1668095737695694,0.07498636096715927,0.08636682480573654,0.2275703549385071,0.09575960785150528,0.9309701323509216,0.1749262362718582
Hertford,914689325,353.1635228240488,21552,61.02555503937908,Rural - Non-Metro,48964,0.0446515716612339,0.3104986846446991,0.2183935642242432,0.5801416635513306,0.6638252139091492,0.3561091423034668,0.1340094953775406,0.3385843634605408,0.1683211028575897,0.07509710639715195,0.1048769950866699,0.1294777691364288,0.04963314533233643,0.8148148059844971,0.4388047456741333
Hoke,1010491623,390.1529968799741,52082,133.49122117860446,Rural - Metro,60257,0.06242702901363373,0.2051647901535034,0.196024090051651,0.759793221950531,0.7168363332748413,0.4216397106647491,0.09613514691591263,0.2559552788734436,0.2038162350654602,0.07498784363269806,0.1386728286743164,0.1586655378341675,0.07176713645458221,0.8384615182876587,0.3117672502994537
Hyde,1585966933,612.3452562876823,4589,7.494138237994399,Rural - Non-Metro,49781,0.02010810747742653,0.3609467446804047,0.1895981132984161,0.4505910277366638,0.7153664231300354,0.2379642426967621,0.08016031980514526,0.3737474977970123,0.2024048119783401,0.07515030354261398,0.1793587207794189,0.05310621112585068,0.03607214614748955,0.8648648858070374,0.2458333373069763
Iredell,1487711608,574.4086632119713,186693,325.0177303316638,Suburban,84335,0.07021898031234741,0.1154642105102539,0.1616765707731247,0.7888869643211365,0.7147457003593445,0.5708990693092346,0.08364691585302353,0.2343963533639908,0.1372322291135788,0.07500683516263962,0.108095608651638,0.2615779042243958,0.10004414618015289,0.8833675384521484,0.2219976931810379
Jackson,1271961081,491.1069190197943,43109,87.77925606513898,Rural - Non-Metro,55462,0.04616027325391769,0.271899402141571,0.1449570506811142,0.5170667171478271,0.6259634494781494,0.339775413274765,0.1381825953722,0.3144512474536896,0.1364660412073135,0.07499195635318756,0.1105031669139862,0.1611415147781372,0.0642634928226471,0.8395904302597046,0.3169717192649841
Johnston,2051313884,792.016718563237,215999,272.7202531681836,Suburban,79666,0.0848766416311264,0.1597520709037781,0.1531721949577332,0.7062811851501465,0.7710011601448059,0.5727066993713379,0.09438639879226685,0.2466724365949631,0.128593772649765,0.07500332593917847,0.1363636404275894,0.2427126318216324,0.0762678012251854,0.9130569100379944,0.2312638312578201
Jones,1220836958,471.367784773344,9172,19.458266551691334,Rural - Metro,53001,0.02271498180925846,0.25,0.1752234995365143,0.581864595413208,0.7563218474388123,0.38744255900383,0.139909416437149,0.292400598526001,0.1731253117322922,0.07498741894960403,0.06844489276409149,0.2138902842998505,0.03724207356572151,0.875,0.2738317847251892
Lee,660607451,255.06196281341232,63285,248.11618048393763,Rural - Non-Metro,62680,0.09564005583524704,0.2392162084579468,0.2233667224645615,0.6709112524986267,0.6595157980918884,0.4216533005237579,0.143785297870636,0.2191389948129654,0.2148278653621674,0.07498937100172043,0.1266622096300125,0.1519217938184738,0.0686744824051857,0.8564231991767883,0.2324392050504684
Lenoir,1033630013,399.08677920533006,55122,138.12033590729334,Rural - Non-Metro,51601,0.04239124432206154,0.3240112662315369,0.2299607545137405,0.5395551919937134,0.5925861597061157,0.3505723178386688,0.1485723704099655,0.3081076741218567,0.1767978370189667,0.07502249628305435,0.1254192888736725,0.1040661036968231,0.06201423704624176,0.9034013748168945,0.2885480225086212
