year,marital_status,age,education_years,children,happiness,health,employment_status,party_id
2024,Never married,27,13,0,Not too happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,61,16,0,Not too happy,Good,"Unemployed, laid off, looking for work","Independent, close to democrat"
2024,Never married,31,16,0,Pretty happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Never married,35,12,3,Not too happy,Poor,Keeping house,"Independent, close to democrat"
2024,Married,50,16,3,Pretty happy,Good,Working full time,Not very strong republican
2024,Married,66,15,0,Pretty happy,Fair,Retired,Strong democrat
2024,Never married,31,12,1,Pretty happy,Fair,Working full time,"Independent, close to democrat"
2024,Never married,29,12,0,Pretty happy,Excellent,Working full time,Not very strong democrat
2024,Never married,35,13,1,Pretty happy,Good,Keeping house,Strong democrat
2024,Never married,27,15,0,Pretty happy,Fair,Working full time,"Independent, close to democrat"
2024,Never married,33,16,0,Pretty happy,Good,Working full time,Not very strong democrat
2024,Never married,69,12,2,Pretty happy,Fair,Retired,Not very strong republican
2024,Never married,36,14,0,Not too happy,Fair,Working full time,Other party
2024,Separated,38,12,1,Not too happy,Fair,Working full time,"Independent (neither, no response)"
2024,Divorced,50,12,1,Pretty happy,Fair,Working full time,Not very strong republican
2024,Never married,33,16,0,Not too happy,Good,Working full time,Not very strong democrat
2024,Never married,39,16,0,Not too happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,69,18,0,Pretty happy,Good,Working full time,Strong democrat
2024,Divorced,NA,18,1,Not too happy,Good,Working full time,Strong democrat
2024,Separated,32,12,5,Not too happy,Fair,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Divorced,57,12,3,Not too happy,Good,Keeping house,Not very strong democrat
2024,Never married,40,12,2,Pretty happy,Fair,NA,Strong republican
2024,Never married,27,12,0,Not too happy,Poor,Working part time,"Independent (neither, no response)"
2024,Married,54,12,2,Pretty happy,Excellent,Working full time,"Independent, close to republican"
2024,Never married,44,18,1,Not too happy,Excellent,Working full time,Other party
2024,Married,32,12,2,Very happy,Good,Working full time,Strong democrat
2024,Divorced,70,18,0,Not too happy,Fair,Working full time,"Independent, close to democrat"
2024,Divorced,73,15,4,Pretty happy,Good,Retired,Not very strong democrat
2024,Married,32,14,1,Pretty happy,Fair,Working full time,"Independent (neither, no response)"
2024,Never married,61,16,8,Very happy,Good,Working full time,"Independent, close to democrat"
2024,Married,NA,12,2,Very happy,Excellent,Retired,Not very strong democrat
2024,Widowed,67,12,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,55,12,1,Not too happy,Fair,Working full time,"Independent (neither, no response)"
2024,Never married,33,16,0,Pretty happy,Good,Working full time,Strong democrat
2024,Married,NA,19,3,Pretty happy,Good,Working full time,Other party
2024,Never married,31,0,2,Very happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,31,12,0,Not too happy,Fair,Working full time,"Independent (neither, no response)"
2024,Never married,38,20,1,Not too happy,Excellent,Working full time,Strong republican
2024,Never married,38,15,2,Very happy,Excellent,Working part time,"Independent (neither, no response)"
2024,Married,67,12,2,Pretty happy,Fair,Working part time,Strong republican
2024,Married,31,20,2,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,39,16,2,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,38,16,3,Pretty happy,Fair,Working full time,"Independent, close to democrat"
2024,Widowed,81,9,3,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Divorced,47,15,1,Pretty happy,Good,Working full time,Not very strong republican
2024,Married,55,20,1,Pretty happy,Good,Working part time,"Independent, close to republican"
2024,Married,66,18,2,Very happy,Good,Retired,Not very strong republican
2024,Married,44,18,3,Pretty happy,Good,Working full time,Strong democrat
2024,Never married,18,11,0,Pretty happy,Good,In school,"Independent, close to republican"
2024,Widowed,71,16,3,Pretty happy,Good,Retired,"Independent, close to republican"
2024,Married,54,16,2,Very happy,Excellent,Working full time,Strong republican
2024,Never married,19,14,0,Not too happy,Excellent,Working part time,"Independent, close to republican"
2024,Widowed,58,13,0,Pretty happy,Good,Working full time,Strong democrat
2024,Widowed,58,12,3,Not too happy,Fair,Working full time,Strong democrat
2024,Married,71,12,2,Not too happy,Good,Retired,Strong republican
